,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,138128000.0,133717000.0,147347000.0,129109000.0
Total Liab,17188656000.0,16083179000.0,16881771000.0,16114052000.0
Total Stockholder Equity,1013836000.0,840072000.0,1218974000.0,838217000.0
Other Current Liab,2310172000.0,1576726000.0,2047127000.0,1840154000.0
Total Assets,18202492000.0,16923251000.0,18100745000.0,16952269000.0
Common Stock,1371354000.0,1363695000.0,1363612000.0,965987000.0
Retained Earnings,789463000.0,529530000.0,584125000.0,525393000.0
Other Liab,284930000.0,278432000.0,290435000.0,273249000.0
Good Will,666230000.0,642502000.0,662421000.0,653932000.0
Treasury Stock,-1146981000.0,-1053153000.0,-728763000.0,-653163000.0
Other Assets,717158000.0,716836000.0,630743000.0,643066000.0
Cash,6410132000.0,6391429000.0,7340651000.0,6831561000.0
Total Current Liabilities,6485612000.0,6395662000.0,6267104000.0,5659233000.0
Deferred Long Term Asset Charges,432671000.0,448832000.0,416776000.0,427940000.0
Short Long Term Debt,1411075000.0,2199564000.0,1772948000.0,2113811000.0
Other Stockholder Equity,-904213000.0,-810385000.0,-696068000.0,-620468000.0
Property Plant Equipment,4287256000.0,4122509000.0,4251488000.0,4167994000.0
Total Current Assets,12343346000.0,11286313000.0,12408746000.0,11358168000.0
Long Term Investments,50374000.0,21374000.0,,
Net Tangible Assets,209478000.0,63853000.0,409206000.0,55176000.0
Net Receivables,4190751000.0,3545691000.0,3561562000.0,3341617000.0
Long Term Debt,10383739000.0,9372474000.0,10286309000.0,10141178000.0
Inventory,1742463000.0,1349193000.0,1506533000.0,1184990000.0
Accounts Payable,2472755000.0,2344593000.0,2183131000.0,1387253000.0
