Date,Dividends,Stock Splits
2010-03-15,0.003617,0.0
2010-09-15,0.005085,0.0
2011-03-15,0.309564,0.0
2011-05-02,0.0,1.2
2011-05-30,0.0,0.3333333333333333
2011-09-16,0.008898,0.0
2012-03-16,0.2457,0.0
2012-04-23,0.0,1.2
2012-09-14,0.275548,0.0
2013-03-14,0.013247,0.0
2013-04-29,0.0,1.2
2013-09-16,0.309651,0.0
2014-03-17,0.337243,0.0
2014-04-01,0.0,2.0
2014-09-15,0.392998,0.0
2015-03-16,0.284297,0.0
2015-04-13,0.0,1.2
2015-09-14,0.193735,0.0
2016-03-14,0.199617,0.0
2016-04-11,0.0,1.2
2016-09-19,0.225843,0.0
2017-01-04,0.091378,0.0
2017-03-16,0.138973,0.0
2017-04-13,0.0,1.2
2017-06-30,0.119921,0.0
2017-09-18,0.369225,0.0
2017-12-28,0.117236,0.0
2018-03-15,0.390077,0.0
2018-07-02,0.115127,0.0
2018-09-17,0.529617,0.0
2018-09-28,0.056185,0.0
2018-12-17,0.266189,0.0
2018-12-20,0.060974,0.0
2019-02-25,0.261399,0.0
2019-03-29,0.054471,0.0
2019-06-12,0.079959,0.0
2019-06-24,0.079959,0.0
2019-06-28,0.049418,0.0
2019-09-13,0.003389,0.0
2019-09-25,0.02879,0.0
2019-11-06,0.015482,0.0
2020-01-02,0.021048,0.0
2020-01-31,0.008912,0.0
2020-12-30,0.055951,0.0
2021-02-02,0.005522,0.0
2021-05-03,0.031525,0.0
2021-08-06,0.023567,0.0
2021-11-09,0.027685,0.0
