FII,RECR11,Cotação,98.49,,,,
Nome,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS,Data últ cot,06/12/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,86.52,,,,
Segmento,Títulos e Val. Mob.,Max 52 sem,102.44,,,,
Gestão,Ativa,Vol $ méd (2m),7716910,,,,
Valor de mercado,1908810000,Nro. Cotas,19380744,,,,
Relatório,29/10/2021,Últ Info Trimestral,30/09/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,81%",FFO Yield,"10,09%",FFO/Cota,9.94,,
Mês,"1,05%",Div. Yield,"14,0%",Dividendo/cota,11.61,,
30 dias,"-1,79%",P/VP,1.03,VP/Cota,95.18,,
12 meses,"10,62%",Resultado,Resultado,Resultado,Resultado,,
2021,"7,04%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"16,61%",Receita,209401000,Receita,61148400,,
2019,"0,00%",Venda de ativos,2431340,Venda de ativos,433423,,
2018,"0,00%",FFO,192640000,FFO,54883800,,
2017,"0,00%",Rend. Distribuído,225062000,Rend. Distribuído,63305500,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,2347800000,Patrim Líquido,1844730000,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
