Papel,RRRP3,Cotação,32.36,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,3R PETROLEUM ON NM,Min 52 sem,26.29,,
Setor,"Petróleo, Gás e Biocombustíveis",Max 52 sem,49.00,,
Subsetor,"Exploração, Refino e Distribuição",Vol $ méd (2m),104545000,,
Valor de mercado,6555910000,Últ balanço processado,30/09/2021,,
Valor da firma,5967400000,Nro. Ações,202593000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,65%",P/L,-32.48,LPA,-1.00
Mês,"17,16%",P/VP,3.60,VPA,9.00
30 dias,"-8,85%",P/EBIT,26.20,Marg. Bruta,"56,0%"
12 meses,"28,89%",PSR,10.02,Marg. EBIT,"38,2%"
2021,"-13,01%",P/Ativos,1.79,Marg. Líquida,"-30,1%"
2020,"78,94%",P/Cap. Giro,7.53,EBIT / Ativo,"6,8%"
2019,"0,00%",P/Ativ Circ Liq,-18.28,ROIC,"10,6%"
2018,"0,00%",Div. Yield,"0,0%",ROE,"-11,1%"
2017,"0,00%",EV / EBITDA,16.90,Liquidez Corr,2.64
2016,"0,00%",EV / EBIT,23.85,Div Br/ Patrim,0.37
,,Cres. Rec (5a),-,Giro Ativos,0.18
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,3655310000,Dív. Bruta,671468000,,
Disponibilidades,1259980000,Dív. Líquida,-588510000,,
Ativo Circulante,1401740000,Patrim. Líq,1822360000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,654481000,Receita Líquida,192182000,,
EBIT,250213000,EBIT,77046000,,
Lucro Líquido,-201852000,Lucro Líquido,-5773000,,
